benchmark,run,result
quadratic,baseline,785
quadratic,memory,831
primes-between,baseline,574100
primes-between,memory,576267
birthday,baseline,484
birthday,memory,486
orders,baseline,5352
orders,memory,incorrect
sum-check,baseline,5018
sum-check,memory,5020
palindrome,baseline,298
palindrome,memory,307
totient,baseline,253
totient,memory,259
relative-primes,baseline,1923
relative-primes,memory,2093
hanoi,baseline,99
hanoi,memory,107
is-decreasing,baseline,127
is-decreasing,memory,129
check-primes,baseline,8468
check-primes,memory,8916
sum-sq-diff,baseline,3038
sum-sq-diff,memory,3041
fitsinside,baseline,10
fitsinside,memory,11
fact,baseline,229
fact,memory,230
loopfact,baseline,116
loopfact,memory,118
recfact,baseline,104
recfact,memory,112
factors,baseline,72
factors,memory,74
perfect,baseline,232
perfect,memory,239
bitshift,baseline,167
bitshift,memory,171
digital-root,baseline,247
digital-root,memory,258
up-arrow,baseline,252
up-arrow,memory,266
sum-divisors,baseline,159
sum-divisors,memory,160
ackermann,baseline,1464231
ackermann,memory,1464232
pythagorean_triple,baseline,61518
pythagorean_triple,memory,61647
euclid,baseline,563
euclid,memory,565
binary-fmt,baseline,100
binary-fmt,memory,118
lcm,baseline,2326
lcm,memory,2328
gcd,baseline,46
gcd,memory,48
catalan,baseline,659378
catalan,memory,679062
armstrong,baseline,133
armstrong,memory,138
pascals-row,baseline,146
pascals-row,memory,149
collatz,baseline,169
collatz,memory,174
sum-bits,baseline,73
sum-bits,memory,74
rectangles-area-difference,baseline,14
rectangles-area-difference,memory,16
mod_inv,baseline,558
mod_inv,memory,567
reverse,baseline,46
reverse,memory,48
fizz-buzz,baseline,3652
fizz-buzz,memory,3801
bitwise-ops,baseline,1690
bitwise-ops,memory,1695
cholesky,baseline,3761
cholesky,memory,incorrect
mat-inv,baseline,1044
mat-inv,memory,1045
dead-branch,baseline,1196
dead-branch,memory,1198
function_call,baseline,timeout
function_call,memory,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,memory,143
conjugate-gradient,baseline,1999
conjugate-gradient,memory,incorrect
leibniz,baseline,12499997
leibniz,memory,12999999
n_root,baseline,733
n_root,memory,755
newton,baseline,217
newton,memory,219
euler,baseline,1908
euler,memory,2046
riemann,baseline,298
riemann,memory,302
mandelbrot,baseline,2720947
mandelbrot,memory,2724774
norm,baseline,505
norm,memory,527
cordic,baseline,517
cordic,memory,551
pow,baseline,36
pow,memory,39
sqrt,baseline,322
sqrt,memory,332
quickselect,baseline,279
quickselect,memory,280
sieve,baseline,3482
sieve,memory,3485
bubblesort,baseline,253
bubblesort,memory,273
primitive-root,baseline,11029
primitive-root,memory,11508
adler32,baseline,6851
adler32,memory,6873
adj2csr,baseline,56629
adj2csr,memory,56631
csrmv,baseline,121202
csrmv,memory,122403
dot-product,baseline,88
dot-product,memory,89
major-elm,baseline,47
major-elm,memory,incorrect
max-subarray,baseline,193
max-subarray,memory,incorrect
mat-mul,baseline,1990407
mat-mul,memory,1990407
fib,baseline,121
fib,memory,incorrect
vsmul,baseline,86036
vsmul,memory,missing
quicksort-hoare,baseline,27333
quicksort-hoare,memory,incorrect
quicksort,baseline,264
quicksort,memory,265
two-sum,baseline,98
two-sum,memory,99
eight-queens,baseline,1006454
eight-queens,memory,1006455
binary-search,baseline,78
binary-search,memory,79
