benchmark,run,result
quadratic,baseline,785
quadratic,reassemble,831
primes-between,baseline,574100
primes-between,reassemble,576267
birthday,baseline,484
birthday,reassemble,486
orders,baseline,5352
orders,reassemble,5448
sum-check,baseline,5018
sum-check,reassemble,5020
palindrome,baseline,298
palindrome,reassemble,307
totient,baseline,253
totient,reassemble,259
relative-primes,baseline,1923
relative-primes,reassemble,2093
hanoi,baseline,99
hanoi,reassemble,107
is-decreasing,baseline,127
is-decreasing,reassemble,129
check-primes,baseline,8468
check-primes,reassemble,8916
sum-sq-diff,baseline,3038
sum-sq-diff,reassemble,3041
fitsinside,baseline,10
fitsinside,reassemble,11
fact,baseline,229
fact,reassemble,230
loopfact,baseline,116
loopfact,reassemble,118
recfact,baseline,104
recfact,reassemble,112
factors,baseline,72
factors,reassemble,74
perfect,baseline,232
perfect,reassemble,239
bitshift,baseline,167
bitshift,reassemble,171
digital-root,baseline,247
digital-root,reassemble,258
up-arrow,baseline,252
up-arrow,reassemble,266
sum-divisors,baseline,159
sum-divisors,reassemble,160
ackermann,baseline,1464231
ackermann,reassemble,1464232
pythagorean_triple,baseline,61518
pythagorean_triple,reassemble,61647
euclid,baseline,563
euclid,reassemble,565
binary-fmt,baseline,100
binary-fmt,reassemble,118
lcm,baseline,2326
lcm,reassemble,2328
gcd,baseline,46
gcd,reassemble,48
catalan,baseline,659378
catalan,reassemble,679062
armstrong,baseline,133
armstrong,reassemble,138
pascals-row,baseline,146
pascals-row,reassemble,149
collatz,baseline,169
collatz,reassemble,174
sum-bits,baseline,73
sum-bits,reassemble,74
rectangles-area-difference,baseline,14
rectangles-area-difference,reassemble,16
mod_inv,baseline,558
mod_inv,reassemble,567
reverse,baseline,46
reverse,reassemble,48
fizz-buzz,baseline,3652
fizz-buzz,reassemble,3801
bitwise-ops,baseline,1690
bitwise-ops,reassemble,1695
cholesky,baseline,3761
cholesky,reassemble,4009
mat-inv,baseline,1044
mat-inv,reassemble,1061
dead-branch,baseline,1196
dead-branch,reassemble,1198
function_call,baseline,timeout
function_call,reassemble,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,reassemble,143
conjugate-gradient,baseline,1999
conjugate-gradient,reassemble,2051
leibniz,baseline,12499997
leibniz,reassemble,12999999
n_root,baseline,733
n_root,reassemble,755
newton,baseline,217
newton,reassemble,219
euler,baseline,1908
euler,reassemble,2046
riemann,baseline,298
riemann,reassemble,302
mandelbrot,baseline,2720947
mandelbrot,reassemble,2724774
norm,baseline,505
norm,reassemble,533
cordic,baseline,517
cordic,reassemble,551
pow,baseline,36
pow,reassemble,39
sqrt,baseline,322
sqrt,reassemble,332
quickselect,baseline,279
quickselect,reassemble,295
sieve,baseline,3482
sieve,reassemble,3562
bubblesort,baseline,253
bubblesort,reassemble,284
primitive-root,baseline,11029
primitive-root,reassemble,11533
adler32,baseline,6851
adler32,reassemble,6876
adj2csr,baseline,56629
adj2csr,reassemble,61563
csrmv,baseline,121202
csrmv,reassemble,122924
dot-product,baseline,88
dot-product,reassemble,90
major-elm,baseline,47
major-elm,reassemble,49
max-subarray,baseline,193
max-subarray,reassemble,195
mat-mul,baseline,1990407
mat-mul,reassemble,2135514
fib,baseline,121
fib,reassemble,122
vsmul,baseline,86036
vsmul,reassemble,90136
quicksort-hoare,baseline,27333
quicksort-hoare,reassemble,29293
quicksort,baseline,264
quicksort,reassemble,278
two-sum,baseline,98
two-sum,reassemble,101
eight-queens,baseline,1006454
eight-queens,reassemble,1024231
binary-search,baseline,78
binary-search,reassemble,85
