benchmark,run,result
quadratic,baseline,785
quadratic,local_value_numbering,785
primes-between,baseline,574100
primes-between,local_value_numbering,574100
birthday,baseline,484
birthday,local_value_numbering,484
orders,baseline,5352
orders,local_value_numbering,5352
sum-check,baseline,5018
sum-check,local_value_numbering,5018
palindrome,baseline,298
palindrome,local_value_numbering,298
totient,baseline,253
totient,local_value_numbering,253
relative-primes,baseline,1923
relative-primes,local_value_numbering,1923
hanoi,baseline,99
hanoi,local_value_numbering,99
is-decreasing,baseline,127
is-decreasing,local_value_numbering,127
check-primes,baseline,8468
check-primes,local_value_numbering,8468
sum-sq-diff,baseline,3038
sum-sq-diff,local_value_numbering,3038
fitsinside,baseline,10
fitsinside,local_value_numbering,10
fact,baseline,229
fact,local_value_numbering,229
loopfact,baseline,116
loopfact,local_value_numbering,116
recfact,baseline,104
recfact,local_value_numbering,104
factors,baseline,72
factors,local_value_numbering,72
perfect,baseline,232
perfect,local_value_numbering,232
bitshift,baseline,167
bitshift,local_value_numbering,167
digital-root,baseline,247
digital-root,local_value_numbering,247
up-arrow,baseline,252
up-arrow,local_value_numbering,252
sum-divisors,baseline,159
sum-divisors,local_value_numbering,159
ackermann,baseline,1464231
ackermann,local_value_numbering,1464231
pythagorean_triple,baseline,61518
pythagorean_triple,local_value_numbering,61518
euclid,baseline,563
euclid,local_value_numbering,563
binary-fmt,baseline,100
binary-fmt,local_value_numbering,100
lcm,baseline,2326
lcm,local_value_numbering,2326
gcd,baseline,46
gcd,local_value_numbering,46
catalan,baseline,659378
catalan,local_value_numbering,659378
armstrong,baseline,133
armstrong,local_value_numbering,133
pascals-row,baseline,146
pascals-row,local_value_numbering,146
collatz,baseline,169
collatz,local_value_numbering,169
sum-bits,baseline,73
sum-bits,local_value_numbering,73
rectangles-area-difference,baseline,14
rectangles-area-difference,local_value_numbering,14
mod_inv,baseline,558
mod_inv,local_value_numbering,558
reverse,baseline,46
reverse,local_value_numbering,46
fizz-buzz,baseline,3652
fizz-buzz,local_value_numbering,3652
bitwise-ops,baseline,1690
bitwise-ops,local_value_numbering,1690
cholesky,baseline,3761
cholesky,local_value_numbering,3761
mat-inv,baseline,1044
mat-inv,local_value_numbering,1044
dead-branch,baseline,1196
dead-branch,local_value_numbering,1196
function_call,baseline,timeout
function_call,local_value_numbering,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,local_value_numbering,142
conjugate-gradient,baseline,1999
conjugate-gradient,local_value_numbering,incorrect
leibniz,baseline,12499997
leibniz,local_value_numbering,12499997
n_root,baseline,733
n_root,local_value_numbering,733
newton,baseline,217
newton,local_value_numbering,217
euler,baseline,1908
euler,local_value_numbering,1908
riemann,baseline,298
riemann,local_value_numbering,298
mandelbrot,baseline,2720947
mandelbrot,local_value_numbering,2720947
norm,baseline,505
norm,local_value_numbering,505
cordic,baseline,517
cordic,local_value_numbering,517
pow,baseline,36
pow,local_value_numbering,36
sqrt,baseline,322
sqrt,local_value_numbering,322
quickselect,baseline,279
quickselect,local_value_numbering,279
sieve,baseline,3482
sieve,local_value_numbering,3482
bubblesort,baseline,253
bubblesort,local_value_numbering,253
primitive-root,baseline,11029
primitive-root,local_value_numbering,11029
adler32,baseline,6851
adler32,local_value_numbering,6851
adj2csr,baseline,56629
adj2csr,local_value_numbering,56629
csrmv,baseline,121202
csrmv,local_value_numbering,incorrect
dot-product,baseline,88
dot-product,local_value_numbering,incorrect
major-elm,baseline,47
major-elm,local_value_numbering,47
max-subarray,baseline,193
max-subarray,local_value_numbering,193
mat-mul,baseline,1990407
mat-mul,local_value_numbering,1990407
fib,baseline,121
fib,local_value_numbering,121
vsmul,baseline,86036
vsmul,local_value_numbering,86036
quicksort-hoare,baseline,27333
quicksort-hoare,local_value_numbering,27333
quicksort,baseline,264
quicksort,local_value_numbering,264
two-sum,baseline,98
two-sum,local_value_numbering,98
eight-queens,baseline,1006454
eight-queens,local_value_numbering,1006454
binary-search,baseline,78
binary-search,local_value_numbering,78
