benchmark,run,result
quadratic,baseline,785
quadratic,licm,3095
primes-between,baseline,574100
primes-between,licm,incorrect
birthday,baseline,484
birthday,licm,900
orders,baseline,5352
orders,licm,incorrect
sum-check,baseline,5018
sum-check,licm,16031
palindrome,baseline,298
palindrome,licm,timeout
totient,baseline,253
totient,licm,incorrect
relative-primes,baseline,1923
relative-primes,licm,incorrect
hanoi,baseline,99
hanoi,licm,incorrect
is-decreasing,baseline,127
is-decreasing,licm,incorrect
check-primes,baseline,8468
check-primes,licm,incorrect
sum-sq-diff,baseline,3038
sum-sq-diff,licm,6677
fitsinside,baseline,10
fitsinside,licm,11
fact,baseline,229
fact,licm,356
loopfact,baseline,116
loopfact,licm,307
recfact,baseline,104
recfact,licm,181
factors,baseline,72
factors,licm,timeout
perfect,baseline,232
perfect,licm,1444
bitshift,baseline,167
bitshift,licm,incorrect
digital-root,baseline,247
digital-root,licm,timeout
up-arrow,baseline,252
up-arrow,licm,incorrect
sum-divisors,baseline,159
sum-divisors,licm,684
ackermann,baseline,1464231
ackermann,licm,3188566
pythagorean_triple,baseline,61518
pythagorean_triple,licm,292840
euclid,baseline,563
euclid,licm,timeout
binary-fmt,baseline,100
binary-fmt,licm,incorrect
lcm,baseline,2326
lcm,licm,4665
gcd,baseline,46
gcd,licm,223
catalan,baseline,659378
catalan,licm,2017496
armstrong,baseline,133
armstrong,licm,timeout
pascals-row,baseline,146
pascals-row,licm,293
collatz,baseline,169
collatz,licm,timeout
sum-bits,baseline,73
sum-bits,licm,timeout
rectangles-area-difference,baseline,14
rectangles-area-difference,licm,incorrect
mod_inv,baseline,558
mod_inv,licm,incorrect
reverse,baseline,46
reverse,licm,212
fizz-buzz,baseline,3652
fizz-buzz,licm,incorrect
bitwise-ops,baseline,1690
bitwise-ops,licm,incorrect
cholesky,baseline,3761
cholesky,licm,incorrect
mat-inv,baseline,1044
mat-inv,licm,1698
dead-branch,baseline,1196
dead-branch,licm,incorrect
function_call,baseline,timeout
function_call,licm,timeout
ray-sphere-intersection,baseline,142
ray-sphere-intersection,licm,143
conjugate-gradient,baseline,1999
conjugate-gradient,licm,incorrect
leibniz,baseline,12499997
leibniz,licm,incorrect
n_root,baseline,733
n_root,licm,2275
newton,baseline,217
newton,licm,492
euler,baseline,1908
euler,licm,3720
riemann,baseline,298
riemann,licm,923
mandelbrot,baseline,2720947
mandelbrot,licm,incorrect
norm,baseline,505
norm,licm,1499
cordic,baseline,517
cordic,licm,incorrect
pow,baseline,36
pow,licm,83
sqrt,baseline,322
sqrt,licm,incorrect
quickselect,baseline,279
quickselect,licm,incorrect
sieve,baseline,3482
sieve,licm,13959
bubblesort,baseline,253
bubblesort,licm,1055
primitive-root,baseline,11029
primitive-root,licm,timeout
adler32,baseline,6851
adler32,licm,timeout
adj2csr,baseline,56629
adj2csr,licm,incorrect
csrmv,baseline,121202
csrmv,licm,incorrect
dot-product,baseline,88
dot-product,licm,163
major-elm,baseline,47
major-elm,licm,246
max-subarray,baseline,193
max-subarray,licm,455
mat-mul,baseline,1990407
mat-mul,licm,7384438
fib,baseline,121
fib,licm,356
vsmul,baseline,86036
vsmul,licm,missing
quicksort-hoare,baseline,27333
quicksort-hoare,licm,incorrect
quicksort,baseline,264
quicksort,licm,incorrect
two-sum,baseline,98
two-sum,licm,incorrect
eight-queens,baseline,1006454
eight-queens,licm,incorrect
binary-search,baseline,78
binary-search,licm,239
